"iso2","year","sector","un","ets","country","ratio"
"BE",2002,"Residual",62612426.36,NA,"Belgium",NA
"BE",2002,"Transport",24638129.81,NA,"Belgium",NA
"BE",2002,"Total",126444626.44,NA,"Belgium",NA
"BE",2003,"Energy",28954615.63,NA,"Belgium",NA
"BE",2003,"Metals",14247740.74,NA,"Belgium",NA
"BE",2003,"Minerals",10374502.84,NA,"Belgium",NA
"BE",2003,"Chemicals",10138333.98,NA,"Belgium",NA
"BE",2003,"Paper",666745.51,NA,"Belgium",NA
"BE",2003,"Residual",63571246,NA,"Belgium",NA
"BE",2003,"Transport",25194016.06,NA,"Belgium",NA
"BE",2003,"Total",127953184.7,NA,"Belgium",NA
"BE",2004,"Energy",29442709.72,NA,"Belgium",NA
"BE",2004,"Metals",14380181.47,NA,"Belgium",NA
"BE",2004,"Minerals",10573804.19,NA,"Belgium",NA
"BE",2004,"Chemicals",10422418.41,NA,"Belgium",NA
"BE",2004,"Paper",613184.97,NA,"Belgium",NA
"BE",2004,"Residual",63608583.93,NA,"Belgium",NA
"BE",2004,"Transport",26242339.68,NA,"Belgium",NA
"BE",2004,"Total",129040882.69,NA,"Belgium",NA
"BE",2005,"Energy",29246990.16,31037010,"Belgium",1.06120355736462
"BE",2005,"Metals",12346512.02,9885738,"Belgium",0.800690752496429
"BE",2005,"Minerals",10735423.58,10127219,"Belgium",0.943346010013701
"BE",2005,"Chemicals",10816309.58,3570662,"Belgium",0.330118324886185
"BE",2005,"Paper",625373.77,742603,"Belgium",1.18745466411231
"BE",2005,"Residual",61867592.51,0,"Belgium",0
"BE",2005,"Transport",25516899.62,NA,"Belgium",NA
"BE",2005,"Total",125638201.62,55363232,"Belgium",0.440656036827471
"BE",2006,"Energy",28136794.1,29735917,"Belgium",1.05683387006766
"BE",2006,"Metals",12789357.04,10175399,"Belgium",0.795614585485057
"BE",2006,"Minerals",11133938.87,10531089,"Belgium",0.945854753017878
"BE",2006,"Chemicals",10249261.96,3572090,"Belgium",0.348521680286919
"BE",2006,"Paper",657526.78,760831,"Belgium",1.15711028530275
"BE",2006,"Residual",61064009.78,0,"Belgium",0
"BE",2006,"Transport",26137524.82,NA,"Belgium",NA
"BE",2006,"Total",124030888.53,54775326,"Belgium",0.441626490378251
"BE",2007,"Energy",27435553.32,29385903,"Belgium",1.07108840333022
"BE",2007,"Metals",12072421.08,9116163,"Belgium",0.755123014645543
"BE",2007,"Minerals",10897168.79,10249515,"Belgium",0.940566783677396
"BE",2007,"Chemicals",10110939.64,3347238,"Belgium",0.331051130674142
"BE",2007,"Paper",548794.37,696514,"Belgium",1.26917118337056
"BE",2007,"Residual",59546524.58,0,"Belgium",0
"BE",2007,"Transport",26939640.6,NA,"Belgium",NA
"BE",2007,"Total",120611401.78,52795333,"Belgium",0.437730863092867
"BE",2008,"Energy",25344134.83,29472016,"Belgium",1.16287323270999
"BE",2008,"Metals",13065738.76,9517327,"Belgium",0.728418589627457
"BE",2008,"Minerals",10575978.37,9938941,"Belgium",0.939765632292986
"BE",2008,"Chemicals",9633343.95,5833944,"Belgium",0.605599055767131
"BE",2008,"Paper",519272.77,699799,"Belgium",1.34765202496561
"BE",2008,"Residual",61520541.35,0,"Belgium",0
"BE",2008,"Transport",27012384.65,NA,"Belgium",NA
"BE",2008,"Total",120659010.03,55462027,"Belgium",0.45965922467133
"BE",2009,"Energy",25744709.35,27420514,"Belgium",1.06509316641402
"BE",2009,"Metals",5492952.42,5022882,"Belgium",0.914422994401251
"BE",2009,"Minerals",8562526.99,7970928,"Belgium",0.930908364938187
"BE",2009,"Chemicals",8423671.53,5152032,"Belgium",0.611613591727977
"BE",2009,"Paper",484513.2,640582,"Belgium",1.32211465033357
"BE",2009,"Residual",58933993.55,0,"Belgium",0
"BE",2009,"Transport",26251627.18,NA,"Belgium",NA
"BE",2009,"Total",107642367.04,46206938,"Belgium",0.429263488630173
"BE",2010,"Energy",26341043.76,28435224,"Belgium",1.07950255347057
"BE",2010,"Metals",7916295.4,6876067,"Belgium",0.868596566014957
"BE",2010,"Minerals",8829176.43,8285541,"Belgium",0.938427390786663
"BE",2010,"Chemicals",9431987.24,5738359,"Belgium",0.608393422720534
"BE",2010,"Paper",637047.08,768788,"Belgium",1.206799346761
"BE",2010,"Residual",60426481.53,0,"Belgium",0
"BE",2010,"Transport",25342653.55,NA,"Belgium",NA
"BE",2010,"Total",113582031.44,50103979,"Belgium",0.441125927796665
"BE",2011,"Energy",22921875.41,24736023,"Belgium",1.07914481505333
"BE",2011,"Metals",7316510.64,6346183,"Belgium",0.867378360021082
"BE",2011,"Minerals",9151612.93,8628085,"Belgium",0.942793916875154
"BE",2011,"Chemicals",9602194.43,5735587,"Belgium",0.597320439802842
"BE",2011,"Paper",535854.53,757177,"Belgium",1.41302715123076
"BE",2011,"Residual",54630593.98,0,"Belgium",0
"BE",2011,"Transport",24990811.94,NA,"Belgium",NA
"BE",2011,"Total",104158641.92,46203055,"Belgium",0.443583500594091
"BE",2012,"Energy",22809482.09,23398713,"Belgium",1.02583271762485
"BE",2012,"Metals",5431447.84,5178584,"Belgium",0.953444487096465
"BE",2012,"Minerals",8573963.53,8022154,"Belgium",0.935641255287681
"BE",2012,"Chemicals",9262326.88,5650060,"Belgium",0.610004383693269
"BE",2012,"Paper",537328.95,757469,"Belgium",1.40969326145558
"BE",2012,"Residual",54780425.9,0,"Belgium",0
"BE",2012,"Transport",24226765.6,NA,"Belgium",NA
"BE",2012,"Total",101394975.19,43006980,"Belgium",0.424152971282955
"BE",2013,"Energy",21242431.53,22687327,"Belgium",1.06801930692159
"BE",2013,"Metals",5354966.12,5465284,"Belgium",1.02060104163647
"BE",2013,"Minerals",8186075.23,7694015,"Belgium",0.939890580507162
"BE",2013,"Chemicals",10013470.06,8661985,"Belgium",0.865033294961487
"BE",2013,"Paper",532198.34,722564,"Belgium",1.35769683159853
"BE",2013,"Residual",56641300.7,0,"Belgium",0
"BE",2013,"Transport",23751668.99,NA,"Belgium",NA
"BE",2013,"Total",101970441.98,45231175,"Belgium",0.443571432286931
"BE",2014,"Energy",20375966,21403962,"Belgium",1.05045139945758
"BE",2014,"Metals",5375231.02,5379516,"Belgium",1.0007971713186
"BE",2014,"Minerals",8296967.5,7851537,"Belgium",0.946314059926112
"BE",2014,"Chemicals",9721902.43,8510950,"Belgium",0.875440795799058
"BE",2014,"Paper",596286.68,707179,"Belgium",1.18597148606439
"BE",2014,"Residual",52024687.62,0,"Belgium",0
"BE",2014,"Transport",24078315.09,NA,"Belgium",NA
"BE",2014,"Total",96391041.25,43853144,"Belgium",0.45495041272832
"BE",2015,"Energy",21091059.19,22321519,"Belgium",1.05834035165874
"BE",2015,"Metals",5351808.23,5349100,"Belgium",0.999493959820007
